base_score,[482.00508683]
age,Score
"(-inf, 36.0]",-4.2055419317771685
"(36.0, 54.0]",-2.2580557576401508
"(54.0, 61.0]",2.0004246846571183
"(61.0, 74.0]",8.133379039675818
"(74.0, inf]",13.808193789464497
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0991]",47.92665031270626
"(0.0991, 0.298]",14.502213972927978
"(0.298, 0.465]",-2.7879665211715117
"(0.465, 0.982]",-23.348303233691304
"(0.982, 1.0]",-10.40645802537381
"(1.0, inf]",-44.20585161052799
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.570511942681462
"(0.0, 1.0]",-13.762047797355482
"(1.0, 2.0]",-21.666422621871032
"(2.0, inf]",-24.33281519747296
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.8287000283463986
"(0.0, 1.0]",-28.567412947508558
"(1.0, 2.0]",-36.8528264765194
"(2.0, inf]",-39.17677506908597
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.59710179154948
"(0.0, 1.0]",5.267965085797201
"(1.0, 2.0]",16.57113235764609
"(2.0, 4.0]",10.285520315881067
"(4.0, inf]",-7.46302545416542
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",0.98039197212718
"(0.0, 1.0]",-10.891242613656766
"(1.0, 2.0]",-14.049576603704866
"(2.0, inf]",-14.40494265261533
NumberOfDependents,Score
"(-inf, 0.0]",15.697160806171352
"(0.0, 1.0]",-12.259354459027902
"(1.0, 2.0]",-12.637799561825007
"(2.0, inf]",-11.314616271959935
DebtRatio,Score
"(-inf, 0.0173]",34.77588140759586
"(0.0173, 0.321]",1.707942261614433
"(0.321, 1.47]",-7.25076516373383
"(1.47, inf]",4.064923429700375
MonthlyIncome,Score
"(-inf, 0.1]",20.662745795003644
"(0.1, 5600.0]",-3.5425018033780473
"(5600.0, inf]",3.5218829750125864
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-6.451086531640654
"(1.0, 3.0]",-2.51580907526833
"(3.0, 5.0]",-0.3938280997377328
"(5.0, 17.0]",0.9366199570023178
"(17.0, inf]",3.537664266384612
